rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Run,Row,1RM Strict Press,3RM Back Squat,5RM Deadlift
868,01ke06xx9w18tedd1x7jar1rvw,Noé,Vignola,Noé Vignola,Male,,,https://ui-avatars.com/api/?name=N+V&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.631KM,2.07KM,,,
869,01kq89xnhecfvmsgfz5fyz9jp8,Sébastien,Cabiron,Sébastien Cabiron,Male,France,Crossfit Arles,https://athxgames.com/storage/profile-photos/mTjlxrhdFENyK9cmaaaLewI9Etz7KJCNVYU2QcjW.png,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.199KM,,,
870,01kqaq6z27vt0vvqbadtsdjdbe,Rémi,COSTA,Rémi COSTA,Male,,,https://ui-avatars.com/api/?name=R+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.197KM,,,
871,01kpn3644m61nsdt23wztv43kt,Arnaud,Millot,Arnaud Millot,Male,,,https://ui-avatars.com/api/?name=A+M&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.196KM,,,
872,01knekwh665jv4e59868pxcrrz,Steven,Boulangé,Steven Boulangé,Male,France,,https://ui-avatars.com/api/?name=S+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.708KM,1.987KM,,,
873,01khgd0nq0kazwp63rbn7vrsse,Manivong,KHAMMAO,Manivong KHAMMAO,Male,,,https://ui-avatars.com/api/?name=M+K&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.191KM,,,
874,01k6342ae7ganh2hjmdykst8f1,Mathieu,Facchini,Mathieu Facchini,Male,France,Aix Athletic Club,https://ui-avatars.com/api/?name=M+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.189KM,,,
875,01kem01y22vfxbqpavqr410kb5,Manuel,Pérez,Manuel Pérez,Male,,,https://ui-avatars.com/api/?name=M+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.163KM,,,
876,01kfc6f0y4z0je4qsyc3g7524g,Gauthier,TOURTE,Gauthier TOURTE,Male,,,https://ui-avatars.com/api/?name=G+T&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.5KM,2.15KM,,,
877,01kp1qc84amx4101mhe7088gyg,Paul,Lalanne,Paul Lalanne,Male,,,https://ui-avatars.com/api/?name=P+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Endurance,1.778KM,1.863KM,,,
